reward 7,reward 9,reward 2,reward 4,reward 5,reward 1,StepNum,reward 0,reward 8,reward 6,reward 3

-452874.6021366313,-452880.3690420168,-452860.7254540768,-452869.848369192,-452869.8582874269,-452854.9540629578,500,-452851.2043972844,-452874.88364365813,-452872.87285993015,-452861.49634048826

-452868.6933224757,-452869.8582874269,-452853.6864782614,-452860.7254540768,-452861.49634048826,-452851.2043972844,1000,-452848.27680790785,-452869.848369192,-452868.16879610484,-452854.9540629578

-452860.7254540768,-452866.3524409537,-452848.6142379964,-452853.6864782614,-452854.9540629578,-452848.27680790785,1500,-452834.67838508316,-452861.49634048826,-452855.91786915984,-452851.2043972844

-452860.7254540768,-452863.0836728396,-452848.6142379964,-452853.6864782614,-452854.9540629578,-452848.27680790785,2000,-452834.67838508316,-452861.49634048826,-452855.91786915984,-452851.2043972844

-452856.5987664026,-452861.49634048826,-452848.6142379964,-452853.6864782614,-452854.9540629578,-452848.27680790785,2500,-452834.67838508316,-452860.7254540768,-452855.91786915984,-452851.2043972844

-452855.91786915984,-452860.56875232974,-452848.27680790785,-452851.2043972844,-452853.6864782614,-452839.55217195913,3000,-452834.67838508316,-452856.5987664026,-452854.9540629578,-452848.6142379964

-452855.91786915984,-452859.3596108416,-452848.27680790785,-452851.2043972844,-452853.6864782614,-452839.55217195913,3500,-452834.67838508316,-452856.5987664026,-452854.9540629578,-452848.6142379964

-452855.91786915984,-452859.3596108416,-452848.27680790785,-452851.2043972844,-452853.6864782614,-452839.55217195913,4000,-452834.67838508316,-452856.5987664026,-452854.9540629578,-452848.6142379964

-452853.6864782614,-452855.91786915984,-452846.0218321265,-452848.6142379964,-452849.83605447365,-452839.55217195913,4500,-452834.67838508316,-452854.9540629578,-452851.2043972844,-452848.27680790785

-452849.83605447365,-452851.2043972844,-452839.55217195913,-452846.0218321265,-452848.27680790785,-452834.6888486475,5000,-452834.67838508316,-452850.91975447733,-452848.6142379964,-452845.29442205216

-452848.6142379964,-452850.91975447733,-452839.55217195913,-452846.0218321265,-452846.03966508264,-452834.6888486475,5500,-452834.67838508316,-452849.83605447365,-452848.27680790785,-452845.29442205216

